run_idx,combination_idx,repeat_idx,status,runtime,cte_bench_timed.io_size,cte_bench_timed.num_threads,cte_bench_timed.test_case,cte_bench_timed.get.agg_bw_mbps,cte_bench_timed.get.agg_ops_per_sec,cte_bench_timed.get.avg_latency_per_op_us,cte_bench_timed.get.bw_per_thread_avg_mbps,cte_bench_timed.get.bw_per_thread_max_mbps,cte_bench_timed.get.bw_per_thread_min_mbps,cte_bench_timed.get.latency_stddev_us,cte_bench_timed.get.ops_per_thread_avg_per_sec,cte_bench_timed.get.time_avg_us,cte_bench_timed.get.time_max_us,cte_bench_timed.get.time_min_us,cte_bench_timed.get.total_data_mb,cte_bench_timed.get.total_ops,cte_bench_timed.put.agg_bw_mbps,cte_bench_timed.put.agg_ops_per_sec,cte_bench_timed.put.avg_latency_per_op_us,cte_bench_timed.put.bw_per_thread_avg_mbps,cte_bench_timed.put.bw_per_thread_max_mbps,cte_bench_timed.put.bw_per_thread_min_mbps,cte_bench_timed.put.latency_stddev_us,cte_bench_timed.put.ops_per_thread_avg_per_sec,cte_bench_timed.put.time_avg_us,cte_bench_timed.put.time_max_us,cte_bench_timed.put.time_min_us,cte_bench_timed.put.total_data_mb,cte_bench_timed.put.total_ops,cte_bench_timed.putget.agg_bw_mbps,cte_bench_timed.putget.agg_ops_per_sec,cte_bench_timed.putget.avg_latency_per_op_us,cte_bench_timed.putget.bw_per_thread_avg_mbps,cte_bench_timed.putget.bw_per_thread_max_mbps,cte_bench_timed.putget.bw_per_thread_min_mbps,cte_bench_timed.putget.latency_stddev_us,cte_bench_timed.putget.ops_per_thread_avg_per_sec,cte_bench_timed.putget.time_avg_us,cte_bench_timed.putget.time_max_us,cte_bench_timed.putget.time_min_us,cte_bench_timed.putget.total_data_mb,cte_bench_timed.putget.total_ops,error
23,7,2,success,35.279720306396484,64k,2,Put,,,,,,,,,,,,,,108.737,1739.8,1149.56,54.3687,54.3686,54.3689,94.0,869.9,30003500.0,30003548.0,30003360.0,3262.5,52200.0,,,,,,,,,,,,,,
24,8,0,success,35.28880000114441,64k,4,Put,,,,,,,,,,,,,,119.81,1916.96,2086.64,29.9525,29.9519,29.9534,546.235,479.24,30003700.0,30004382.0,30002904.0,3594.75,57516.0,,,,,,,,,,,,,,
25,8,1,success,35.264421701431274,64k,4,Put,,,,,,,,,,,,,,120.277,1924.43,2078.54,30.0692,30.0688,30.0695,280.954,481.107,30001600.0,30002050.0,30001320.0,3608.5,57736.0,,,,,,,,,,,,,,
26,8,2,success,35.25851798057556,64k,4,Put,,,,,,,,,,,,,,121.261,1940.18,2061.66,30.3153,30.3148,30.3159,387.468,485.045,30005400.0,30005958.0,30004869.0,3638.5,58216.0,,,,,,,,,,,,,,
27,9,0,success,35.270575761795044,256k,1,Put,,,,,,,,,,,,,,201.459,805.837,1240.95,201.459,201.459,201.459,0.0,805.837,30001100.0,30001122.0,30001122.0,6044.0,24176.0,,,,,,,,,,,,,,
28,9,1,success,35.252495765686035,256k,1,Put,,,,,,,,,,,,,,253.686,1014.74,985.471,253.686,253.686,253.686,0.0,1014.74,30001700.0,30001667.0,30001667.0,7611.0,30444.0,,,,,,,,,,,,,,
29,9,2,success,35.272989988327026,256k,1,Put,,,,,,,,,,,,,,261.026,1044.1,957.759,261.026,261.026,261.026,0.0,1044.1,30004700.0,30004661.0,30004661.0,7832.0,31328.0,,,,,,,,,,,,,,
30,10,0,success,35.272666454315186,256k,2,Put,,,,,,,,,,,,,,371.676,1486.7,1345.26,185.838,185.834,185.842,633.5,743.351,30002000.0,30002605.0,30001338.0,11151.0,44604.0,,,,,,,,,,,,,,
31,10,1,success,35.28451657295227,256k,2,Put,,,,,,,,,,,,,,369.379,1477.52,1353.62,184.689,184.687,184.692,359.0,738.758,30004400.0,30004776.0,30004058.0,11083.0,44332.0,,,,,,,,,,,,,,
32,10,2,success,36.302613258361816,256k,2,Put,,,,,,,,,,,,,,367.456,1469.82,1360.71,183.728,183.725,183.73,413.0,734.912,30000900.0,30001296.0,30000470.0,11024.0,44096.0,,,,,,,,,,,,,,
33,11,0,success,36.30173420906067,256k,4,Put,,,,,,,,,,,,,,453.651,1814.61,2204.34,113.413,113.406,113.417,1168.04,453.651,30003200.0,30004984.0,30002127.0,13611.0,54444.0,,,,,,,,,,,,,,
34,11,1,success,36.3003363609314,256k,4,Put,,,,,,,,,,,,,,455.389,1821.56,2195.92,113.847,113.841,113.851,1127.41,455.389,30005100.0,30006767.0,30004033.0,13664.0,54656.0,,,,,,,,,,,,,,
35,11,2,success,36.28692030906677,256k,4,Put,,,,,,,,,,,,,,480.55,1922.2,2080.95,120.138,120.134,120.14,638.553,480.55,30003100.0,30003979.0,30002404.0,14418.0,57672.0,,,,,,,,,,,,,,
36,12,0,success,36.298394203186035,1m,1,Put,,,,,,,,,,,,,,421.886,421.886,2370.31,421.886,421.886,421.886,0.0,421.886,30046000.0,30046044.0,30046044.0,12676.0,12676.0,,,,,,,,,,,,,,
37,12,1,success,36.288381814956665,1m,1,Put,,,,,,,,,,,,,,460.307,460.307,2172.46,460.307,460.307,460.307,0.0,460.307,30006100.0,30006061.0,30006061.0,13812.0,13812.0,,,,,,,,,,,,,,
38,12,2,success,36.30331063270569,1m,1,Put,,,,,,,,,,,,,,493.724,493.724,2025.42,493.724,493.724,493.724,0.0,493.724,30008600.0,30008647.0,30008647.0,14816.0,14816.0,,,,,,,,,,,,,,
39,13,0,success,37.28282189369202,1m,2,Put,,,,,,,,,,,,,,867.948,867.948,2304.28,433.974,433.938,434.011,2528.0,433.974,30006400.0,30008924.0,30003868.0,26044.0,26044.0,,,,,,,,,,,,,,
40,13,1,success,37.31608533859253,1m,2,Put,,,,,,,,,,,,,,954.703,954.703,2094.89,477.352,477.311,477.393,2566.5,477.352,30007200.0,30009792.0,30004659.0,28648.0,28648.0,,,,,,,,,,,,,,
41,13,2,success,37.304179430007935,1m,2,Put,,,,,,,,,,,,,,956.728,956.728,2090.46,478.364,478.33,478.398,2131.5,478.364,30006400.0,30008577.0,30004314.0,28708.0,28708.0,,,,,,,,,,,,,,
42,14,0,success,37.29730463027954,1m,4,Put,,,,,,,,,,,,,,972.657,972.657,4112.45,243.164,243.133,243.199,3043.01,243.164,30004400.0,30008206.0,30000094.0,29184.0,29184.0,,,,,,,,,,,,,,
43,14,1,success,37.287108421325684,1m,4,Put,,,,,,,,,,,,,,976.622,976.622,4095.75,244.155,244.101,244.21,5290.0,244.155,30009600.0,30016275.0,30002812.0,29308.0,29308.0,,,,,,,,,,,,,,
44,14,2,success,37.313559770584106,1m,4,Put,,,,,,,,,,,,,,958.488,958.488,4173.24,239.622,239.578,239.662,4122.68,239.622,30005600.0,30011132.0,30000615.0,28760.0,28760.0,,,,,,,,,,,,,,
45,15,0,success,35.262991428375244,4k,1,Get,8.37599,2144.25,466.363,8.37599,8.37599,8.37599,0.0,2144.25,30002100.0,30002056.0,30002056.0,251.297,64332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,15,1,success,35.29019331932068,4k,1,Get,9.13583,2338.77,427.575,9.13583,9.13583,9.13583,0.0,2338.77,30000400.0,30000369.0,30000369.0,274.078,70164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,15,2,success,35.27989602088928,4k,1,Get,8.98983,2301.4,434.519,8.98983,8.98983,8.98983,0.0,2301.4,30000900.0,30000922.0,30000922.0,269.703,69044.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,16,0,success,35.274152517318726,4k,2,Get,17.1072,4379.45,456.678,8.55361,8.55356,8.55367,181.0,2189.73,30001000.0,30001207.0,30000845.0,513.234,131388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,16,1,success,35.26580238342285,4k,2,Get,17.2061,4404.75,454.055,8.60303,8.60303,8.60304,15.5,2202.38,30000300.0,30000333.0,30000302.0,516.188,132144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,16,2,success,35.26072025299072,4k,2,Get,17.176,4397.05,454.85,8.588,8.58782,8.58818,625.5,2198.53,30001000.0,30001621.0,30000370.0,515.297,131916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,17,0,success,35.26971507072449,4k,4,Get,29.3928,7524.56,531.592,7.34821,7.34796,7.34836,611.852,1881.14,30000900.0,30001960.0,30000316.0,881.812,225744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,17,1,success,35.26229691505432,4k,4,Get,29.1463,7461.45,536.089,7.28657,7.28635,7.28669,563.392,1865.36,30000600.0,30001533.0,30000129.0,874.406,223848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,17,2,success,35.2815842628479,4k,4,Get,28.0444,7179.37,557.152,7.01111,7.01096,7.0113,641.434,1794.84,30001000.0,30001590.0,30000101.0,841.359,215388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,18,0,success,35.27608132362366,16k,1,Get,26.5227,1697.45,589.119,26.5227,26.5227,26.5227,0.0,1697.45,30000300.0,30000273.0,30000273.0,795.688,50924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,18,1,success,35.27988934516907,16k,1,Get,27.5286,1761.83,567.592,27.5286,27.5286,27.5286,0.0,1761.83,30000700.0,30000656.0,30000656.0,825.875,52856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,18,2,success,35.263144969940186,16k,1,Get,26.2327,1678.89,595.631,26.2327,26.2327,26.2327,0.0,1678.89,30000700.0,30000722.0,30000722.0,787.0,50368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,19,0,success,35.26043105125427,16k,2,Get,56.9488,3644.72,548.739,28.4744,28.4741,28.4747,352.5,1822.36,30000600.0,30000996.0,30000291.0,1708.5,109344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,19,1,success,35.26647210121155,16k,2,Get,55.1587,3530.16,566.547,27.5794,27.5786,27.5801,802.5,1765.08,30000900.0,30001714.0,30000109.0,1654.81,105908.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,19,2,success,35.27685332298279,16k,2,Get,55.7898,3570.54,560.139,27.8949,27.8946,27.8951,281.0,1785.27,30001000.0,30001311.0,30000749.0,1673.75,107120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,20,0,success,35.269033670425415,16k,4,Get,210.921,13498.9,296.32,52.7302,52.7298,52.7308,242.567,3374.73,30000600.0,30000817.0,30000231.0,6327.75,404976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,20,1,success,35.27002191543579,16k,4,Get,208.258,13328.5,300.109,52.0644,52.0636,52.0649,304.217,3332.12,30000400.0,30000882.0,30000089.0,6247.81,399860.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,20,2,success,35.25549030303955,16k,4,Get,208.319,13332.4,300.021,52.0798,52.0796,52.0801,130.312,3333.1,30000600.0,30000669.0,30000350.0,6249.69,399980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,21,0,success,35.26516580581665,64k,1,Get,80.0646,1281.03,780.62,80.0646,80.0646,80.0646,0.0,1281.03,30000800.0,30000770.0,30000770.0,2402.0,38432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,21,1,success,35.25570058822632,64k,1,Get,78.0083,1248.13,801.197,78.0083,78.0083,78.0083,0.0,1248.13,30003200.0,30003221.0,30003221.0,2340.5,37448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,21,2,success,35.26709032058716,64k,1,Get,79.3416,1269.47,787.733,79.3416,79.3416,79.3416,0.0,1269.47,30003200.0,30003165.0,30003165.0,2380.5,38088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,22,0,success,35.25273561477661,64k,2,Get,159.858,2557.73,781.942,79.9292,79.9284,79.93,303.5,1278.87,30001600.0,30001866.0,30001259.0,4796.0,76736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,22,1,success,35.26157212257385,64k,2,Get,155.986,2495.77,801.356,77.9928,77.9912,77.9944,621.5,1247.88,30001200.0,30001796.0,30000553.0,4679.75,74876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,22,2,success,35.27993035316467,64k,2,Get,163.169,2610.7,766.078,81.5844,81.5839,81.5849,181.5,1305.35,30001100.0,30001327.0,30000964.0,4895.25,78324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
